tag,old,new
F3.h1,| +12 months | [placeholder] | [placeholder] | [placeholder] | [placeholder] |,"| +12 months | −0.0072 | [−0.0598, 0.0468] | 0.9972 | 224 |"
F3.h2,| +24 months | [placeholder] | [placeholder] | [placeholder] | [placeholder] |,"| +24 months | −0.0480 | [−0.1275, 0.0292] | 0.6069 | 194 |"
F3.h3,| +36 months | [placeholder] | [placeholder] | [placeholder] | [placeholder] |,"| +36 months | −0.0505 | [−0.1391, 0.0358] | 0.6805 | 167 |"
F3.h4,"| +48 months | -0.1360 | [-0.2563, -0.0289] | **0.0394** | [placeholder] |","| +48 months | −0.1360 | [−0.2563, −0.0289] | **0.0394** | 133 |"
F3.orient,The state is oriented so that [placeholder: state the exact scaling or group contrast used in this p,The contrast compares top-tercile (lowest pre-deal hiring) with bottom-tercile targets in their trea
F3.mult,account for the four horizon comparisons using [placeholder: exact multiplicity-adjustment procedure,account for the four horizon comparisons using the Šidák correction applied to two-sided bootstrap p
F3.earlier,"The earlier-horizon contrasts are [placeholder: report the +12-, +24-, and +36-month estimates, conf","The earlier-horizon contrasts are −0.0072 [−0.0598, 0.0468] (adjusted $p$ = 0.997, $n=224$) at +12 m"
G2.panelA,"| Original treated sample and future-treated controls | [placeholder] | [placeholder] | 186 |
| Expa","| Original treated sample and future-treated controls | +0.0411 | [−0.0113, 0.0921] | 186 |
| Expand"
G2.panelB,| Original treated sample and future-treated controls | [placeholder] | [placeholder] | [placeholder,"| Original treated sample and future-treated controls | +0.0453 | [−0.0062, 0.0946] | 186 |
| Expand"
G2.rule,The original and expanded samples differ according to [placeholder: exact expansion rule].,The original sample uses treated events linked to the NPS register by business registration number; 
G2.gaps,"[placeholder: report the 18-, 24-, and 36-month minimum-future-treatment-gap sensitivity analyses if","Gap sensitivity ($P1$, expanded sample): −0.0631 [−0.1254, −0.0003] with an 18-month gap ($n=272$), "
G2.prose,"the corresponding comparison is [placeholder: estimate, confidence interval, and interpretation]. Fo","the corresponding comparison is positive but not detected in the expanded sample, at +0.0342 [−0.007"
G3.row,| Slope with transferred ownership stake | -0.000008 per percentage point | [placeholder] |,"| Slope with transferred ownership stake | −0.000008 per percentage point | [−0.0006, 0.0006] |"
G3.def,The transferred-stake slope uses [placeholder: exact transferred-ownership definition and eligible s,The transferred-stake slope uses the transferred common-share percentage recorded in the shareholder
G3.prose,close to zero at $-0.000008$ per percentage point [placeholder: 95% CI],"close to zero at $-0.000008$ per percentage point [−0.0006, 0.0006] ($n=798$)"
G3.sub,subgroup ph,supplementary panel
G4.n1,"| +1 year | 0.0215 | [-0.0024, 0.0483] | [placeholder] |","| +1 year | 0.0215 | [−0.0024, 0.0483] | 154 |"
G4.n2,"| +2 years | 0.0179 | [-0.0108, 0.0494] | [placeholder] |","| +2 years | 0.0179 | [−0.0108, 0.0494] | 122 |"
G4.terc,Cash-change terciles use [placeholder: exact post-deal horizon and construction].,Cash-change terciles use the treated-minus-control change in cash over assets between the fiscal yea
H1.dur,The duration categories are [placeholder: exact duration-bucket cutoffs]. A positive-entry month res,"The duration categories are $d=1$, $2$, $3$, $4\text{-}5$, $6\text{-}11$, and $\ge 12$ months, with "
H1.cat,enters through fixed effects for [placeholder: exact duration categories],"enters through fixed effects for the categories $d=1$, $2$, $3$, $4\text{-}5$, $6\text{-}11$, and $\"
H2.assign,The state variable used in the hazard analysis is [placeholder: state whether the target’s state is ,"The state variable used in the hazard analysis is the treated target's continuous pre-deal state, as"
H2.meta,"The state-balanced continuous specification uses 1,199 grouped cells. [placeholder: report its event","The state-balanced continuous specification uses 308 events, 1,199 grouped cells, and 38,652 firm-mo"
H2.def,The state variable used in the continuous interaction is [placeholder: exact definition and scaling],The state variable used in the continuous interaction is the treated target's pre-deal state $S_i=-\
