document,line,section,number,kind,source,context
main,25,1. Introduction,0.7101,ledger,D01.value;D03b.value;D09.value,Balancing the pre-deal state changes the counterfactual rather than the pattern among treated firms. On the 28
main,25,1. Introduction,0.295,ledger,D04b.value;E07.ci1,Balancing the pre-deal state changes the counterfactual rather than the pattern among treated firms. On the 28
main,25,1. Introduction,0.0056,ledger,D04c.value,Balancing the pre-deal state changes the counterfactual rather than the pattern among treated firms. On the 28
main,27,1. Introduction,0.6315,ledger,D07.value,The result is also present when hiring is measured without employment in the denominator. The gradient in the 
main,27,1. Introduction,0.6957,ledger,D08.value,The result is also present when hiring is measured without employment in the denominator. The gradient in the 
main,27,1. Introduction,0.3816,ledger,D09a.value,The result is also present when hiring is measured without employment in the denominator. The gradient in the 
main,27,1. Introduction,-0.0580,ledger,D09d.value,The result is also present when hiring is measured without employment in the denominator. The gradient in the 
main,27,1. Introduction,0.1788,ledger,D09h.value,The result is also present when hiring is measured without employment in the denominator. The gradient in the 
main,29,1. Introduction,180,constant/count,,This distinction connects the result to two strands of the private equity literature. Davis et al. (2014) show
main,93,3.2 Private equity sample and supplement,79,constant/count,,The Korean sample differs from the public-to-private buyouts that feature prominently in much of the U.S. evid
main,97,3.2 Private equity sample and supplement,752,constant/count,,"Starting from 752 identified private equity investment events, 168 cannot be linked to a pension record, 120 l"
main,97,3.2 Private equity sample and supplement,168,ledger,C91.value,"Starting from 752 identified private equity investment events, 168 cannot be linked to a pension record, 120 l"
main,97,3.2 Private equity sample and supplement,120,ledger,C91a.value,"Starting from 752 identified private equity investment events, 168 cannot be linked to a pension record, 120 l"
main,97,3.2 Private equity sample and supplement,75,ledger,C91b.value,"Starting from 752 identified private equity investment events, 168 cannot be linked to a pension record, 120 l"
main,97,3.2 Private equity sample and supplement,10,constant/count,,"Starting from 752 identified private equity investment events, 168 cannot be linked to a pension record, 120 l"
main,97,3.2 Private equity sample and supplement,379,constant/count,,"Starting from 752 identified private equity investment events, 168 cannot be linked to a pension record, 120 l"
main,97,3.2 Private equity sample and supplement,367,constant/count,,"Starting from 752 identified private equity investment events, 168 cannot be linked to a pension record, 120 l"
main,99,3.2 Private equity sample and supplement,379,constant/count,,The primary state-gradient analysis imposes stricter requirements because the target’s hiring state must also 
main,99,3.2 Private equity sample and supplement,17,ledger,G03a.value,The primary state-gradient analysis imposes stricter requirements because the target’s hiring state must also 
main,99,3.2 Private equity sample and supplement,22,ledger,G03b.value,The primary state-gradient analysis imposes stricter requirements because the target’s hiring state must also 
main,99,3.2 Private equity sample and supplement,286,constant/count,,The primary state-gradient analysis imposes stricter requirements because the target’s hiring state must also 
main,99,3.2 Private equity sample and supplement,301,constant/count,,The primary state-gradient analysis imposes stricter requirements because the target’s hiring state must also 
main,99,3.2 Private equity sample and supplement,286,constant/count,,The primary state-gradient analysis imposes stricter requirements because the target’s hiring state must also 
main,99,3.2 Private equity sample and supplement,180,constant/count,,The primary state-gradient analysis imposes stricter requirements because the target’s hiring state must also 
main,99,3.2 Private equity sample and supplement,301,constant/count,,The primary state-gradient analysis imposes stricter requirements because the target’s hiring state must also 
main,99,3.2 Private equity sample and supplement,180,constant/count,,The primary state-gradient analysis imposes stricter requirements because the target’s hiring state must also 
main,99,3.2 Private equity sample and supplement,752,constant/count,,The primary state-gradient analysis imposes stricter requirements because the target’s hiring state must also 
main,157,3.2 Private equity sample and supplement,752,constant/count,,"Notes. Panel A reports sample construction, Panel B describes targets at the transaction month, Panel C report"
main,157,3.2 Private equity sample and supplement,200,constant/count,,"Notes. Panel A reports sample construction, Panel B describes targets at the transaction month, Panel C report"
main,159,3.2 Private equity sample and supplement,79.8,ledger,C97.value,Table 1 also makes clear that the matched population is not a random cross-section of private equity targets. 
main,159,3.2 Private equity sample and supplement,135.6,ledger,C97a.value,Table 1 also makes clear that the matched population is not a random cross-section of private equity targets. 
main,171,4.1 Matching and the pre-deal hiring sta,379,constant/count,,"For the average-effect analysis, we match each private equity target to five nearest untreated firms observed "
main,171,4.1 Matching and the pre-deal hiring sta,0.786,artifact-abs,I37:estimates.rows.6.nd_pool (sign written as magnitude),"For the average-effect analysis, we match each private equity target to five nearest untreated firms observed "
main,171,4.1 Matching and the pre-deal hiring sta,0.095,ledger,C64.value;C90anp.value,"For the average-effect analysis, we match each private equity target to five nearest untreated firms observed "
main,173,4.1 Matching and the pre-deal hiring sta,0.9,ledger,C35.ci1;C94b.ci1;C94c.ci1,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,0.35,ledger,C26.value;C58.value;C86.value,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,-1,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,2,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,5,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,10,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,20,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,50,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,100,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,250,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,-10,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,+10,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,5,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,173,4.1 Matching and the pre-deal hiring sta,15,constant/count,,"Within each exact cell, the five nearest neighbours are selected using a scaled Euclidean distance based on lo"
main,181,4.1 Matching and the pre-deal hiring sta,286,constant/count,,"For the primary gradient analysis, we add a tercile of  to the exact matching cell and rematch the eligible ev"
main,181,4.1 Matching and the pre-deal hiring sta,0.036,ledger,C93a.value;D08a.value,"For the primary gradient analysis, we add a tercile of  to the exact matching cell and rematch the eligible ev"
main,181,4.1 Matching and the pre-deal hiring sta,0.008,ledger,C14.value,"For the primary gradient analysis, we add a tercile of  to the exact matching cell and rematch the eligible ev"
main,181,4.1 Matching and the pre-deal hiring sta,0.366,ledger,C83a.value;D05d.value,"For the primary gradient analysis, we add a tercile of  to the exact matching cell and rematch the eligible ev"
main,181,4.1 Matching and the pre-deal hiring sta,0.761,ledger,D05e.value,"For the primary gradient analysis, we add a tercile of  to the exact matching cell and rematch the eligible ev"
main,193,4.2 Outcome and estimation,+1,constant/count,,"The main outcome compares hiring over the twelve months before and after the transaction. For each firm, we ca"
main,193,4.2 Outcome and estimation,+12,constant/count,,"The main outcome compares hiring over the twelve months before and after the transaction. For each firm, we ca"
main,205,4.2 Outcome and estimation,5,constant/count,,The primary specification winsorises the outcome at the 5th and 95th percentiles of the treated sample. The sa
main,205,4.2 Outcome and estimation,95,constant/count,,The primary specification winsorises the outcome at the 5th and 95th percentiles of the treated sample. The sa
main,211,4.3 Inference,"1,246",constant/count,,We estimate that background relationship directly from untreated firms. Each matched control firm is treated i
main,211,4.3 Inference,"2,000",constant/count,,We estimate that background relationship directly from untreated firms. Each matched control firm is treated i
main,219,4.3 Inference,286,constant/count,,Confidence intervals are obtained by resampling matched target-control groups so that each target and its cont
main,219,4.3 Inference,"1,144",constant/count,,Confidence intervals are obtained by resampling matched target-control groups so that each target and its cont
main,219,4.3 Inference,95,constant/count,,Confidence intervals are obtained by resampling matched target-control groups so that each target and its cont
main,231,5.1 Average post-investment responses,0.0878,ledger,C52.value,Private equity targets increase both employment and hiring relative to their matched controls. Twelve months a
main,231,5.1 Average post-investment responses,0.0462,ledger,C52.ci0,Private equity targets increase both employment and hiring relative to their matched controls. Twelve months a
main,231,5.1 Average post-investment responses,0.1300,ledger,C52.ci1,Private equity targets increase both employment and hiring relative to their matched controls. Twelve months a
main,231,5.1 Average post-investment responses,9,constant/count,,Private equity targets increase both employment and hiring relative to their matched controls. Twelve months a
main,231,5.1 Average post-investment responses,0.0485,ledger,C2.value,Private equity targets increase both employment and hiring relative to their matched controls. Twelve months a
main,231,5.1 Average post-investment responses,0.0163,ledger,C2.ci0,Private equity targets increase both employment and hiring relative to their matched controls. Twelve months a
main,231,5.1 Average post-investment responses,0.0814,ledger,C2.ci1,Private equity targets increase both employment and hiring relative to their matched controls. Twelve months a
main,231,5.1 Average post-investment responses,4.85,artifact-pct,I01:estimates.panelB_timing_blur.B1.DiD (x100);I04b:estimates.panelD_by_inertia.T1저관성.log_wage|h3.ci.1 (x100),Private equity targets increase both employment and hiring relative to their matched controls. Twelve months a
main,231,5.1 Average post-investment responses,367,constant/count,,Private equity targets increase both employment and hiring relative to their matched controls. Twelve months a
main,233,5.1 Average post-investment responses,0.0007,ledger,C4.value;C69.value,"The corresponding change in the separation rate is 0.0007 [−0.0353, 0.0398]. The interval excludes a separatio"
main,233,5.1 Average post-investment responses,-0.0353,ledger,C4.ci0,"The corresponding change in the separation rate is 0.0007 [−0.0353, 0.0398]. The interval excludes a separatio"
main,233,5.1 Average post-investment responses,0.0398,ledger,C4.ci1,"The corresponding change in the separation rate is 0.0007 [−0.0353, 0.0398]. The interval excludes a separatio"
main,233,5.1 Average post-investment responses,1.159,ledger,C1.value,"The corresponding change in the separation rate is 0.0007 [−0.0353, 0.0398]. The interval excludes a separatio"
main,233,5.1 Average post-investment responses,1.083,ledger,C1.ci0,"The corresponding change in the separation rate is 0.0007 [−0.0353, 0.0398]. The interval excludes a separatio"
main,233,5.1 Average post-investment responses,1.241,ledger,C1.ci1,"The corresponding change in the separation rate is 0.0007 [−0.0353, 0.0398]. The interval excludes a separatio"
main,246,5.1 Average post-investment responses,999,constant/count,,Notes. Estimates compare each target's change with the mean change among its matched controls. Employment is m
main,250,5.2 Hiring responses by pre-deal hiring ,0.7101,ledger,D01.value;D03b.value;D09.value,The average effect conceals substantial variation across targets. Firms entering the transaction with lower hi
main,250,5.2 Hiring responses by pre-deal hiring ,95,constant/count,,The average effect conceals substantial variation across targets. Firms entering the transaction with lower hi
main,250,5.2 Hiring responses by pre-deal hiring ,0.3187,ledger,E01h.ci0;C98e.ci0,The average effect conceals substantial variation across targets. Firms entering the transaction with lower hi
main,250,5.2 Hiring responses by pre-deal hiring ,1.1254,ledger,E01h.ci1;C98e.ci1,The average effect conceals substantial variation across targets. Firms entering the transaction with lower hi
main,250,5.2 Hiring responses by pre-deal hiring ,0,constant/count,,The average effect conceals substantial variation across targets. Firms entering the transaction with lower hi
main,250,5.2 Hiring responses by pre-deal hiring ,0.0900,ledger,E01k.ci0,The average effect conceals substantial variation across targets. Firms entering the transaction with lower hi
main,250,5.2 Hiring responses by pre-deal hiring ,0.3177,ledger,E01k.ci1,The average effect conceals substantial variation across targets. Firms entering the transaction with lower hi
main,250,5.2 Hiring responses by pre-deal hiring ,22,ledger,G03b.value,The average effect conceals substantial variation across targets. Firms entering the transaction with lower hi
main,252,5.2 Hiring responses by pre-deal hiring ,"1,246",constant/count,,"Low-hiring untreated firms also rebound to some extent. The placebo distribution generated from 1,246 untreate"
main,252,5.2 Hiring responses by pre-deal hiring ,0.101,ledger,C5a.value;D01a.value;E01a.value,"Low-hiring untreated firms also rebound to some extent. The placebo distribution generated from 1,246 untreate"
main,252,5.2 Hiring responses by pre-deal hiring ,0.1538,ledger,E01b.value,"Low-hiring untreated firms also rebound to some extent. The placebo distribution generated from 1,246 untreate"
main,252,5.2 Hiring responses by pre-deal hiring ,0.6091,ledger,E01e.value,"Low-hiring untreated firms also rebound to some extent. The placebo distribution generated from 1,246 untreate"
main,252,5.2 Hiring responses by pre-deal hiring ,3.96,ledger,E01d.value,"Low-hiring untreated firms also rebound to some extent. The placebo distribution generated from 1,246 untreate"
main,257,5.2 Hiring responses by pre-deal hiring ,4,constant/count,,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,1,constant/count,,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,95,constant/count,,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,5,constant/count,,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,361,ledger,R01.n;R08.value;R08.n,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,353,ledger,R02.n;R07.n,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,1,constant/count,,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,249,ledger,R06.n,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,12,constant/count,,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,286,constant/count,,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,95,constant/count,,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,"1,246",constant/count,,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,"2,000",constant/count,,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,+0.101,ledger,C5a.value;D01a.value;E01a.value,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,0.710,ledger,D01.value;D03b.value;D09.value,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,0.0005,ledger,D01c.value;E01c.value;E02c.value,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,257,5.2 Hiring responses by pre-deal hiring ,3.96,ledger,E01d.value,"Notes. Panel (a) plots the quarterly path of the hiring rate — hires per worker per quarter, treated minus the"
main,291,5.2 Hiring responses by pre-deal hiring ,+1,constant/count,,Notes. The outcome in Panels A and B is the treated-minus-control change in the log hiring rate from months −1
main,291,5.2 Hiring responses by pre-deal hiring ,+12,constant/count,,Notes. The outcome in Panels A and B is the treated-minus-control change in the log hiring rate from months −1
main,291,5.2 Hiring responses by pre-deal hiring ,5,constant/count,,Notes. The outcome in Panels A and B is the treated-minus-control change in the log hiring rate from months −1
main,291,5.2 Hiring responses by pre-deal hiring ,95,constant/count,,Notes. The outcome in Panels A and B is the treated-minus-control change in the log hiring rate from months −1
main,291,5.2 Hiring responses by pre-deal hiring ,"2,000",constant/count,,Notes. The outcome in Panels A and B is the treated-minus-control change in the log hiring rate from months −1
main,291,5.2 Hiring responses by pre-deal hiring ,286,constant/count,,Notes. The outcome in Panels A and B is the treated-minus-control change in the log hiring rate from months −1
main,293,5.2 Hiring responses by pre-deal hiring ,286,constant/count,,State balancing changes the control path rather than the pattern among treated firms. On the 286 events common
main,293,5.2 Hiring responses by pre-deal hiring ,0.4698,ledger,D03.value,State balancing changes the control path rather than the pattern among treated firms. On the 286 events common
main,293,5.2 Hiring responses by pre-deal hiring ,0.7101,ledger,D01.value;D03b.value;D09.value,State balancing changes the control path rather than the pattern among treated firms. On the 286 events common
main,293,5.2 Hiring responses by pre-deal hiring ,0.8425,ledger,D04.value;D04a.value,State balancing changes the control path rather than the pattern among treated firms. On the 286 events common
main,293,5.2 Hiring responses by pre-deal hiring ,0.295,ledger,D04b.value;E07.ci1,State balancing changes the control path rather than the pattern among treated firms. On the 286 events common
main,293,5.2 Hiring responses by pre-deal hiring ,0.0056,ledger,D04c.value,State balancing changes the control path rather than the pattern among treated firms. On the 286 events common
main,295,5.2 Hiring responses by pre-deal hiring ,0.268,ledger,E06.value,Alternative winsorisation choices and transformations that retain zero-hiring windows give gradients in the sa
main,295,5.2 Hiring responses by pre-deal hiring ,0.141,artifact,I14:estimates.panelC_dose.D3 고지분.rel_ci.1;I14:estimates.panelC_dose.다수>=50%.DiD_ci.1;I16:estimates.panelB_pct_dose.소수<50%.rel,Alternative winsorisation choices and transformations that retain zero-hiring windows give gradients in the sa
main,297,5.2 Hiring responses by pre-deal hiring ,0.410,ledger,C62.value,The pattern is also more closely related to the firm’s broader recent hiring history than to a short pause imm
main,297,5.2 Hiring responses by pre-deal hiring ,0.078,ledger,C18.value;C62.ci0,The pattern is also more closely related to the firm’s broader recent hiring history than to a short pause imm
main,297,5.2 Hiring responses by pre-deal hiring ,0.753,ledger,C62.ci1,The pattern is also more closely related to the firm’s broader recent hiring history than to a short pause imm
main,297,5.2 Hiring responses by pre-deal hiring ,0.559,ledger,C35.value,The pattern is also more closely related to the firm’s broader recent hiring history than to a short pause imm
main,297,5.2 Hiring responses by pre-deal hiring ,0.241,ledger,C35.ci0,The pattern is also more closely related to the firm’s broader recent hiring history than to a short pause imm
main,297,5.2 Hiring responses by pre-deal hiring ,0.885,ledger,C35.ci1,The pattern is also more closely related to the firm’s broader recent hiring history than to a short pause imm
main,297,5.2 Hiring responses by pre-deal hiring ,0.040,ledger,C4.ci1;C11.ci1;C34.value,The pattern is also more closely related to the firm’s broader recent hiring history than to a short pause imm
main,297,5.2 Hiring responses by pre-deal hiring ,0.536,artifact,I19c:estimates.panelA_sidak.② 법인 인수.sidak_p;I41:estimates.panelD_transitory_vs_structural.joint_과거 비활동.coef,The pattern is also more closely related to the firm’s broader recent hiring history than to a short pause imm
main,297,5.2 Hiring responses by pre-deal hiring ,0.032,artifact,I04:estimates.panelB_by_inertia.T1 저관성.h1.log_wage.ci.1;I04:estimates.panelB_by_inertia.T3 고관성.h1.log_wage.ci.1;I04b:estimates.panelD_by_inertia.T1저관성.log_wage|h1.ci.1,The pattern is also more closely related to the firm’s broader recent hiring history than to a short pause imm
main,297,5.2 Hiring responses by pre-deal hiring ,63.9,artifact-pct,I02:estimates.panelA_hazard_by_duration.d=2.t_pre (x100);I02:estimates.panelD_hazard_profile.처치_사전.1 (x100),The pattern is also more closely related to the firm’s broader recent hiring history than to a short pause imm
main,299,5.2 Hiring responses by pre-deal hiring ,1.4,ledger,C9.ci1,"The administrative entry records also behave largely as worker inflows. Across the monthly panel, the median a"
main,299,5.2 Hiring responses by pre-deal hiring ,0.365,ledger,E05.value,"The administrative entry records also behave largely as worker inflows. Across the monthly panel, the median a"
main,301,5.2 Hiring responses by pre-deal hiring ,0.6315,ledger,D07.value,The result is not driven by employment in the denominator. Replacing the hiring rate with the raw log count of
main,301,5.2 Hiring responses by pre-deal hiring ,0.1795,ledger,D07a.value,The result is not driven by employment in the denominator. Replacing the hiring rate with the raw log count of
main,301,5.2 Hiring responses by pre-deal hiring ,0.6957,ledger,D08.value,The result is not driven by employment in the denominator. Replacing the hiring rate with the raw log count of
main,301,5.2 Hiring responses by pre-deal hiring ,0.0363,ledger,D08a.value,The result is not driven by employment in the denominator. Replacing the hiring rate with the raw log count of
main,301,5.2 Hiring responses by pre-deal hiring ,-0.0580,ledger,D09d.value,The result is not driven by employment in the denominator. Replacing the hiring rate with the raw log count of
main,301,5.2 Hiring responses by pre-deal hiring ,0.7101,ledger,D01.value;D03b.value;D09.value,The result is not driven by employment in the denominator. Replacing the hiring rate with the raw log count of
main,305,5.3 Gross worker-flow adjustment,-0.0580,ledger,D09d.value,"Net employment varies differently with the pre-deal hiring state. The gradient in log employment is −0.0580, c"
main,305,5.3 Gross worker-flow adjustment,0.0796,ledger,D09e.value,"Net employment varies differently with the pre-deal hiring state. The gradient in log employment is −0.0580, c"
main,305,5.3 Gross worker-flow adjustment,9,constant/count,,"Net employment varies differently with the pre-deal hiring state. The gradient in log employment is −0.0580, c"
main,307,5.3 Gross worker-flow adjustment,0.3816,ledger,D09a.value,"Worker churn, by contrast, moves in the same direction as hiring. Its state gradient is 0.3816, with a standar"
main,307,5.3 Gross worker-flow adjustment,3.08,ledger,D09b.value;E07b.value,"Worker churn, by contrast, moves in the same direction as hiring. Its state gradient is 0.3816, with a standar"
main,307,5.3 Gross worker-flow adjustment,0.7536,ledger,D10.value,"Worker churn, by contrast, moves in the same direction as hiring. Its state gradient is 0.3816, with a standar"
main,307,5.3 Gross worker-flow adjustment,0.0232,ledger,D10a.value,"Worker churn, by contrast, moves in the same direction as hiring. Its state gradient is 0.3816, with a standar"
main,307,5.3 Gross worker-flow adjustment,0.4539,ledger,D10c.value,"Worker churn, by contrast, moves in the same direction as hiring. Its state gradient is 0.3816, with a standar"
main,325,5.3 Gross worker-flow adjustment,0.1788,ledger,D09h.value,The separation-rate gradient is positive at 0.1788 but imprecise relative to its placebo distribution (z ). Th
main,333,6. Validity and alternative explanations,0.101,ledger,C5a.value;D01a.value;E01a.value,The first concern is built directly into the untreated pseudo-event benchmark. Low-hiring control firms are al
main,333,6. Validity and alternative explanations,0.7101,ledger,D01.value;D03b.value;D09.value,The first concern is built directly into the untreated pseudo-event benchmark. Low-hiring control firms are al
main,335,6. Validity and alternative explanations,-0.0777,ledger,H06.value,Pre-deal outcomes provide evidence on whether such a factor was already visible before the transaction. The pr
main,335,6. Validity and alternative explanations,-0.4394,ledger,H06b.ci0,Pre-deal outcomes provide evidence on whether such a factor was already visible before the transaction. The pr
main,335,6. Validity and alternative explanations,0.0854,ledger,H06b.ci1,Pre-deal outcomes provide evidence on whether such a factor was already visible before the transaction. The pr
main,335,6. Validity and alternative explanations,250,constant/count,,Pre-deal outcomes provide evidence on whether such a factor was already visible before the transaction. The pr
main,335,6. Validity and alternative explanations,0.7101,ledger,D01.value;D03b.value;D09.value,Pre-deal outcomes provide evidence on whether such a factor was already visible before the transaction. The pr
main,337,6. Validity and alternative explanations,283,ledger,H01.n,Using the usual state window gives a similar ordering but is less clean because the state and earlier outcome 
main,337,6. Validity and alternative explanations,0.1068,ledger,H01.value,Using the usual state window gives a similar ordering but is less clean because the state and earlier outcome 
main,337,6. Validity and alternative explanations,-0,constant/count,,Using the usual state window gives a similar ordering but is less clean because the state and earlier outcome 
main,337,6. Validity and alternative explanations,0.4351,ledger,H01.ci1,Using the usual state window gives a similar ordering but is less clean because the state and earlier outcome 
main,337,6. Validity and alternative explanations,0.7250,ledger,H02.value,Using the usual state window gives a similar ordering but is less clean because the state and earlier outcome 
main,337,6. Validity and alternative explanations,0.3259,ledger,H02.ci0,Using the usual state window gives a similar ordering but is less clean because the state and earlier outcome 
main,337,6. Validity and alternative explanations,1.1081,ledger,H02.ci1,Using the usual state window gives a similar ordering but is less clean because the state and earlier outcome 
main,339,6. Validity and alternative explanations,3.126,ledger,H04.value,A relative-magnitude sensitivity calculation following Rambachan and Roth (2023) provides a complementary way 
main,339,6. Validity and alternative explanations,3.126,ledger,H04.value,A relative-magnitude sensitivity calculation following Rambachan and Roth (2023) provides a complementary way 
main,351,6. Validity and alternative explanations,283,ledger,H01.n,Notes. The non-overlapping specification measures the state over months −36 to −25 so that the state and earli
main,369,7.1 Post-deal dynamics and monthly hirin,95,constant/count,,The increase in hiring begins soon after the private equity investment and persists beyond the first year. Fig
main,369,7.1 Post-deal dynamics and monthly hirin,0.0032,ledger,C46.value;R02.ci0,The increase in hiring begins soon after the private equity investment and persists beyond the first year. Fig
main,369,7.1 Post-deal dynamics and monthly hirin,0.0250,ledger,C44a.ci1;C71a.value;R02.ci1,The increase in hiring begins soon after the private equity investment and persists beyond the first year. Fig
main,369,7.1 Post-deal dynamics and monthly hirin,0.048,ledger,C66.value;R07.value,The increase in hiring begins soon after the private equity investment and persists beyond the first year. Fig
