document,table,panel,row,col,token,claim_id,source,pipeline_script
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel A. Sample,Two-digit industries represented,1,44,,I37.json:estimates.n_industries,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel B. Targets at the deal,Median employees,1,79,,I04.json:estimates.panelB_by_inertia.T3 고관성.h2.log_wage.n,i04_performance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel B. Targets at the deal,Mean employees,1,218.2,,I37.json:estimates.rows.0.treated,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel B. Targets at the deal,Median deal year,1,2021,,constant (sample fact),
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel B. Targets at the deal,"Share of firm-months with no hiring, pre-deal",1,0.269,,I37.json:estimates.rows.5.treated_sd,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel B. Targets at the deal,Mean intensity within active months (hires / employees),1,0.055,C81b,I53.json:estimates.specs.implied_hires.null_mean,i53_randomization.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel C. The pre-deal hiring state,"Normalized difference, treated versus controls, previous design",1,-0.0362,D06,I58.json:estimates.panelB_state_balance.current.normalized_difference,i58_design_audit.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel C. The pre-deal hiring state,"Normalized difference, state-balanced design",1,-0.0078,D06a,I58.json:estimates.panelB_state_balance.balanced.normalized_difference,i58_design_audit.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel C. The pre-deal hiring state,"Correlation of treated and control state, previous / balanced",1,0.3659,D05d,I58_control_contamination.json:estimates.현행.corr_St_So,
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel C. The pre-deal hiring state,"Correlation of treated and control state, previous / balanced",1,0.7614,D05e,I58_control_contamination.json:estimates.상태균형.corr_St_So,
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel C. The pre-deal hiring state,"Auxiliary: share of no-hire months, tercile cut points",1,0.083,,I35.json:estimates.tercile_cuts.0,i35_canonical.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel C. The pre-deal hiring state,"Auxiliary: share of no-hire months, tercile cut points",1,0.333,,I36.json:estimates.tercile_cut_inaction,i36_regression_table.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Employees,1,218.2,,I37.json:estimates.rows.0.treated,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Employees,2,228.1,,I37.json:estimates.rows.0.matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Employees,3,-0.012,,I37.json:estimates.rows.0.nd_matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Employees,4,97.2,,I37.json:estimates.rows.0.pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Employees,5,+0.175,,I37.json:estimates.rows.0.nd_pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Log employees,1,4.420,,I37.json:estimates.rows.1.treated,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Log employees,2,4.421,,I37.json:estimates.rows.1.matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Log employees,3,-0.000,,I37.json:estimates.rows.1.nd_matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Log employees,4,3.531,,I37.json:estimates.rows.1.pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Log employees,5,+0.753,,I37.json:estimates.rows.1.nd_pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Pre-deal employment growth,1,0.142,,I37.json:estimates.rows.2.treated,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Pre-deal employment growth,2,0.130,,I37.json:estimates.rows.2.matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Pre-deal employment growth,3,+0.032,,I37.json:estimates.rows.2.nd_matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Pre-deal employment growth,4,0.063,,I37.json:estimates.rows.2.pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Pre-deal employment growth,5,+0.116,,I37.json:estimates.rows.2.nd_pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Firm age (years),1,15.5,,I37.json:estimates.rows.3.treated,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Firm age (years),2,16.4,,I37.json:estimates.rows.3.matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Firm age (years),3,-0.091,,I37.json:estimates.rows.3.nd_matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Firm age (years),4,17.7,,I37.json:estimates.rows.3.pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,Firm age (years),5,-0.229,,I37.json:estimates.rows.3.nd_pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Hiring rate, prior 12 months",1,0.444,,I37.json:estimates.rows.4.treated,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Hiring rate, prior 12 months",2,0.428,,I37.json:estimates.rows.4.matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Hiring rate, prior 12 months",3,+0.051,,I37.json:estimates.rows.4.nd_matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Hiring rate, prior 12 months",4,0.379,,I37.json:estimates.rows.4.pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Hiring rate, prior 12 months",5,+0.184,,I37.json:estimates.rows.4.nd_pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Separation rate, prior 12 months",1,0.358,,I37.json:estimates.rows.5.treated,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Separation rate, prior 12 months",2,0.367,,I37.json:estimates.rows.5.matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Separation rate, prior 12 months",3,-0.037,,I37.json:estimates.rows.5.nd_matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Separation rate, prior 12 months",4,0.371,,I37.json:estimates.rows.5.pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Separation rate, prior 12 months",5,-0.041,,I37.json:estimates.rows.5.nd_pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Share of no-hire months, 12 to 1",1,0.269,,I37.json:estimates.rows.5.treated_sd,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Share of no-hire months, 12 to 1",2,0.288,,I37.json:estimates.rows.6.matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Share of no-hire months, 12 to 1",3,-0.076,,I37.json:estimates.rows.6.nd_matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Share of no-hire months, 12 to 1",4,0.500,,I37.json:estimates.rows.6.pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Share of no-hire months, 12 to 1",5,-0.786,,I37.json:estimates.rows.6.nd_pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Share of no-hire months, 24 to 13",1,0.282,,I37.json:estimates.rows.7.treated,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Share of no-hire months, 24 to 13",2,0.306,,I37.json:estimates.rows.7.matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Share of no-hire months, 24 to 13",3,-0.095,,I37.json:estimates.rows.7.nd_matched,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Share of no-hire months, 24 to 13",4,0.496,,I37.json:estimates.rows.7.pool,i37_balance.py
main,"Table 1. Sample construction, characteristics, and covariate balance",Panel D. Covariate balance,"Share of no-hire months, 24 to 13",5,-0.724,,I37.json:estimates.rows.7.nd_pool,i37_balance.py
main,Table 2. Average post-investment employment and hiring responses,,"Employment, 12 months after ( log)",1,0.0878,C52,I35.json:estimates.canonical.A2_rel12.est,i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,"Employment, 12 months after ( log)",2,0.0462,C52,I35.json:estimates.canonical.A2_rel12.est (ci0),i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,"Employment, 12 months after ( log)",2,0.1300,C52,I35.json:estimates.canonical.A2_rel12.est (ci1),i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,"Employment, 12 months after ( log)",3,367,C2,I35.json:estimates.canonical.A1_hire_DiD.est (n),i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,12-month hiring rate,1,0.0485,C2,I35.json:estimates.canonical.A1_hire_DiD.est,i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,12-month hiring rate,2,0.0163,C2,I35.json:estimates.canonical.A1_hire_DiD.est (ci0),i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,12-month hiring rate,2,0.0814,C2,I35.json:estimates.canonical.A1_hire_DiD.est (ci1),i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,12-month hiring rate,3,367,C2,I35.json:estimates.canonical.A1_hire_DiD.est (n),i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,Separation rate,1,0.0007,C4,I35.json:estimates.canonical.A5_separation.est,i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,Separation rate,2,-0.0353,C4,I35.json:estimates.canonical.A5_separation.est (ci0),i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,Separation rate,2,0.0398,C4,I35.json:estimates.canonical.A5_separation.est (ci1),i35_canonical.py
main,Table 2. Average post-investment employment and hiring responses,,Separation rate,3,367,C2,I35.json:estimates.canonical.A1_hire_DiD.est (n),i35_canonical.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel A. Primary gradient,Gradient in log hiring rate,1,0.7101,E01h,I65.json:estimates.panelA_firm_cluster.ci95,i65_bootci_reuse.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel A. Primary gradient,Gradient in log hiring rate,1,0.3187,E01h,I65.json:estimates.panelA_firm_cluster.ci95 (ci0),i65_bootci_reuse.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel A. Primary gradient,Gradient in log hiring rate,1,1.1254,E01h,I65.json:estimates.panelA_firm_cluster.ci95 (ci1),i65_bootci_reuse.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel A. Primary gradient,"Placebo null, mean (SD)",1,0.101,E01a,I60.json:estimates.specs.winsor_5_95.null_mean,i60_speccurve.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel A. Primary gradient,"Placebo null, mean (SD)",1,0.1538,E01b,I60.json:estimates.specs.winsor_5_95.null_sd,i60_speccurve.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel A. Primary gradient,Excess over placebo mean,1,0.6091,E01e,I60.json:estimates.specs.winsor_5_95.excess,i60_speccurve.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel A. Primary gradient,Upper-tail placebo,1,0.0005,E01c,I60.json:estimates.specs.winsor_5_95.RI_p,i60_speccurve.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel A. Primary gradient,Effect of an interquartile move,1,0.2005,E01k,I65.json:estimates.panelF_magnitude.effect_iqr,i65_bootci_reuse.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel A. Primary gradient,Effect of an interquartile move,1,0.0900,E01k,I65.json:estimates.panelF_magnitude.effect_iqr (ci0),i65_bootci_reuse.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel A. Primary gradient,Effect of an interquartile move,1,0.3177,E01k,I65.json:estimates.panelF_magnitude.effect_iqr (ci1),i65_bootci_reuse.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel B. Effect of matching on the hiring state,"Previous matching, common sample",1,0.4698,D03,I58.json:estimates.panelA_common_sample.current_common.observed,i58_design_audit.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel B. Effect of matching on the hiring state,"State-balanced matching, common sample",1,0.7101,E01h,I65.json:estimates.panelA_firm_cluster.ci95,i65_bootci_reuse.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel B. Effect of matching on the hiring state,"Treated-firm gradient, previous / state-balanced",1,0.8425,D04,I58.json:estimates.panelD_decomposition.current.own,i58_design_audit.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel B. Effect of matching on the hiring state,"Treated-firm gradient, previous / state-balanced",1,0.8425,D04,I58.json:estimates.panelD_decomposition.current.own,i58_design_audit.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel B. Effect of matching on the hiring state,"Control-group gradient, previous / state-balanced",1,0.2950,D04b,I58.json:estimates.panelD_decomposition.current.control_mean,i58_design_audit.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel B. Effect of matching on the hiring state,"Control-group gradient, previous / state-balanced",1,0.0056,D04c,I58.json:estimates.panelD_decomposition.balanced.control_mean,i58_design_audit.py
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel C. Hiring counts and employment,Log count of hires,1,0.6315,D07,I59.json:estimates.lN.observed,
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel C. Hiring counts and employment,Log count of hires,2,0.1795,D07a,I59.json:estimates.lN.null_mean,
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel C. Hiring counts and employment,"Log hires, controlling for change in log employment",1,0.6957,D08,I59.json:estimates.lN_ctrlE.observed,
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel C. Hiring counts and employment,"Log hires, controlling for change in log employment",2,0.0363,D08a,I59.json:estimates.lN_ctrlE.null_mean,
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel C. Hiring counts and employment,Log employment,1,−0.0580,,I59.json:estimates.lE.observed,
main,Table 3. Hiring responses by pre-deal hiring intensity,Panel C. Hiring counts and employment,Log employment,2,0.0796,D09e,I57.json:estimates.panelB_outcomes.emp.null_mean,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Log hiring rate,1,0.7101,D09,I57.json:estimates.panelB_outcomes.hire.observed,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Log hiring rate,3,286,D09,I57.json:estimates.panelB_outcomes.hire.observed (n),i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,"Log churn, (hires + separations) / employment",1,0.3816,D09a,I57.json:estimates.panelB_outcomes.churn.observed,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,"Log churn, (hires + separations) / employment",2,3.08,D09b,I57.json:estimates.panelB_outcomes.churn.z,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,"Log churn, (hires + separations) / employment",3,288,D09a,I57.json:estimates.panelB_outcomes.churn.observed (n),i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Log separation rate,1,0.1788,D09h,I57.json:estimates.panelB_outcomes.sep.observed,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Log separation rate,2,1.17,D09i,I57.json:estimates.panelB_outcomes.sep.z,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Log separation rate,2,0.2349,D09j,I57.json:estimates.panelB_outcomes.sep.RI_p_two_sided,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Log separation rate,3,281,D09h,I57.json:estimates.panelB_outcomes.sep.observed (n),i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Log employment,1,-0.0580,D09d,I57.json:estimates.panelB_outcomes.emp.observed,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Log employment,2,-2.6,D09f,I57.json:estimates.panelB_outcomes.emp.z,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Log employment,2,0.007,D09g,I57.json:estimates.panelB_outcomes.emp.RI_p_two_sided,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Log employment,3,289,D09d,I57.json:estimates.panelB_outcomes.emp.observed (n),i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Hiring  employment,1,0.7536,D10,I57.json:estimates.panelC_paired.채용 − 고용.observed,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Hiring  employment,2,0.0232,D10a,I57.json:estimates.panelC_paired.채용 − 고용.null_mean,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Hiring  employment,2,4.56,D10b,I57.json:estimates.panelC_paired.채용 − 고용.z,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Hiring  employment,3,286,D09,I57.json:estimates.panelB_outcomes.hire.observed (n),i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Churn  employment,1,0.4539,D10c,I57.json:estimates.panelC_paired.churn − 고용.observed,i57_reallocation2.py
main,Table 4. Worker-flow responses by pre-deal hiring state,,Churn  employment,2,4.19,D10d,I57.json:estimates.panelC_paired.churn − 고용.z,i57_reallocation2.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Pre-deal excess gradient, non-overlapping state window",1,−0.0777,H06,I66.json:estimates.panelA_pretrend_early_state.observed,i66_pretrend_zeros.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Pre-deal excess gradient, non-overlapping state window",2,−0.4394,H06b,I66.json:estimates.panelA_pretrend_early_state.excess_ci (ci0),i66_pretrend_zeros.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Pre-deal excess gradient, non-overlapping state window",2,0.0854,H06b,I66.json:estimates.panelA_pretrend_early_state.excess_ci (ci1),i66_pretrend_zeros.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Pre-deal excess gradient, non-overlapping state window",3,250,H06,I66.json:estimates.panelA_pretrend_early_state.observed (n),i66_pretrend_zeros.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Pre-deal gradient, usual state window",1,0.1068,H01,I64.json:estimates.pre_12m.observed,i64_pretrend_honest.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Pre-deal gradient, usual state window",2,−0.1955,H01,I64.json:estimates.pre_12m.observed (ci0),i64_pretrend_honest.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Pre-deal gradient, usual state window",2,0.4351,H01,I64.json:estimates.pre_12m.observed (ci1),i64_pretrend_honest.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Pre-deal gradient, usual state window",3,283,H01,I64.json:estimates.pre_12m.observed (n),i64_pretrend_honest.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Post-deal gradient, same events",1,0.7250,H02,I64.json:estimates.post_12m.observed,i64_pretrend_honest.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Post-deal gradient, same events",2,0.3259,H02,I64.json:estimates.post_12m.observed (ci0),i64_pretrend_honest.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Post-deal gradient, same events",2,1.1081,H02,I64.json:estimates.post_12m.observed (ci1),i64_pretrend_honest.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Post-deal gradient, same events",3,283,H01,I64.json:estimates.pre_12m.observed (n),i64_pretrend_honest.py
main,Table 5. Pre-deal dynamics of the hiring-state gradient,,"Relative-magnitude breakdown, gradient",1,3.126,H04,I64.json:estimates.honestdid.resolution_12m.Mbar,i64_pretrend_honest.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,Share of no-hire months: actual change,1,-0.0466,C41,I38.json:estimates.panelA_excess.actual.DiD,i38_excess_zeros.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,Share of no-hire months: actual change,2,-0.0675,C41,I38.json:estimates.panelA_excess.actual.DiD (ci0),i38_excess_zeros.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,Share of no-hire months: actual change,2,-0.0270,C41,I38.json:estimates.panelA_excess.actual.DiD (ci1),i38_excess_zeros.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,Share of no-hire months: actual change,3,346,C41,I38.json:estimates.panelA_excess.actual.DiD (n),i38_excess_zeros.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,Change implied by the volume increase alone,1,-0.0518,C41a,I38.json:estimates.panelA_excess.expected_uniform.DiD,i38_excess_zeros.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,Change implied by the volume increase alone,2,-0.0699,C41a,I38.json:estimates.panelA_excess.expected_uniform.DiD (ci0),i38_excess_zeros.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,Change implied by the volume increase alone,2,-0.0326,C41a,I38.json:estimates.panelA_excess.expected_uniform.DiD (ci1),i38_excess_zeros.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,"Excess, over and above the benchmark",1,0.0052,C42,I38.json:estimates.panelA_excess.excess_uniform.DiD,i38_excess_zeros.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,"Excess, over and above the benchmark",2,-0.0082,C42,I38.json:estimates.panelA_excess.excess_uniform.DiD (ci0),i38_excess_zeros.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,"Excess, over and above the benchmark",2,0.0189,C42,I38.json:estimates.panelA_excess.excess_uniform.DiD (ci1),i38_excess_zeros.py
main,Table 6. Monthly hiring patterns relative to a volume benchmark,,"Excess, over and above the benchmark",3,346,C41,I38.json:estimates.panelA_excess.actual.DiD (n),i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of no-hire months,1,−0.0466,C41,I38.json:estimates.panelA_excess.actual.DiD,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of no-hire months,2,−0.0518,C41a,I38.json:estimates.panelA_excess.expected_uniform.DiD,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of no-hire months,3,+0.0052,C42,I38.json:estimates.panelA_excess.excess_uniform.DiD,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of no-hire months,4,−0.0082,C42,I38.json:estimates.panelA_excess.excess_uniform.DiD (ci0),i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of no-hire months,4,+0.0189,C42,I38.json:estimates.panelA_excess.excess_uniform.DiD (ci1),i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of no-hire months,5,0.046,,I38.json:estimates.panelA_excess.excess_uniform.equiv.SESOI,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Share of no-hire months, employment-weighted benchmark",1,−0.0466,C41,I38.json:estimates.panelA_excess.actual.DiD,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Share of no-hire months, employment-weighted benchmark",2,−0.0508,,I38.json:estimates.panelA_excess.expected_wgt.DiD,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Share of no-hire months, employment-weighted benchmark",3,+0.0042,,I38.json:estimates.panelA_excess.excess_wgt.DiD,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Share of no-hire months, employment-weighted benchmark",4,−0.0088,,I38.json:estimates.panelA_excess.excess_wgt.ci.0,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Share of no-hire months, employment-weighted benchmark",4,+0.0180,,I38.json:estimates.panelA_excess.excess_wgt.ci.1,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Share of no-hire months, employment-weighted benchmark",5,0.046,,I38.json:estimates.panelA_excess.excess_uniform.equiv.SESOI,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Number of no-hire months,1,−0.5594,,I39.json:estimates.zero.actual.DiD,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Number of no-hire months,2,−0.6182,,I39.json:estimates.zero.expected.DiD,i39_spell_benchmark.py
